variable_id,keggid,fdr,score
M441T680_2_NEG,NA,3.59E-16,1.114
M448T566_NEG,C05466,0.005118977,1.134
M229T462_NEG,C02678,0.000742858,1.201
M367T590_NEG,C04555,0.000228347,1.338
M221T50_POS,C13008,0.007994464,1.362
M544T604_POS,C04230,1.19E-18,1.533
M131T106_NEG,NA,0.000181802,1.574
M86T594_POS,C01746,0.002398476,1.6
M424T542_POS,NA,5.12E-17,1.609
M539T357_NEG,NA,5.57E-27,1.654
M510T585_POS,C04230,1.28E-09,1.712
M313T198_POS,NA,0.003953308,1.736
M463T547_POS,C03033,0.006243372,1.772
M413T586_NEG,NA,1.67E-06,1.777
M352T205_POS,NA,3.10E-09,1.81
M401T652_POS,C05455,0.000178054,1.852
M321T433_POS,C06979,0.032192258,1.977
M263T180_NEG,C04148,0.011573826,2.008
M245T89_POS,NA,1.39E-15,2.019
M283T167_NEG,NA,0.007711064,2.074
M197T200_POS,C01909,6.44E-12,2.1
M568T583_POS,C04230,7.21E-12,2.283
M261T59_POS,NA,0.000405898,2.286
M480T575_POS,NA,2.47E-07,2.325
M464T662_POS,C05465,7.24E-05,2.431
M526T590_NEG,NA,0.000165763,2.48
M378T565_NEG,C06124,0.006160387,2.548
M269T615_POS,C17276,0.002133435,2.592
M195T135_NEG,NA,0.001100449,2.636
M485T345_NEG,C05503,0.005133161,2.639
M194T192_NEG,C07588,1.87E-07,2.816
M585T555_2_POS,C01443,4.44E-47,2.877
M499T660_NEG,C11758,2.65E-06,3.051
M499T620_NEG,C18142,0.000980609,3.099
M528T585_NEG,NA,3.71E-19,3.16
M363T416_POS,C00735,7.29E-76,3.2
M524T604_POS,C04230,1.09E-26,3.208
M285T573_NEG,C19615,0.000181242,3.284
M426T564_POS,NA,3.53E-07,3.323
M181T197_1_POS,C00794,0.002312666,3.382
M303T629_NEG,C00219,0.000196247,3.386
M383T485_NEG,NA,0.002393508,3.416
M182T197_POS,C00082,0.049639251,3.426
M136T53_POS,C00147,0.025299248,3.526
M480T609_POS,NA,4.80E-52,3.583
M496T594_POS,C04230,1.02E-06,3.593
M204T538_POS,C00140,1.83E-44,3.649
M481T481_NEG,NA,3.70E-14,3.854
M502T593_NEG,NA,2.81E-07,3.866
M209T221_NEG,C16361,6.46E-05,3.894
M271T616_NEG,NA,0.003792108,3.937
M567T558_NEG,C03033,3.71E-36,3.988
M265T546_POS,C07258,8.87E-07,4.055
M506T606_NEG,NA,1.97E-15,4.193
M349T612_POS,NA,0.001951216,4.226
M331T418_NEG,C05498,9.71E-42,4.291
M202T126_POS,C07131,0.001095308,4.379
M395T623_NEG,NA,7.05E-24,4.379
M180T126_POS,C01586,0.000517517,4.399
M508T623_POS,C04230,5.51E-22,4.457
M282T191_POS,NA,1.53E-09,4.678
M181T126_POS,C07480,0.001951216,4.754
M165T115_NEG,C16358,1.03E-06,4.82
M353T791_NEG,NA,0.001152804,4.908
M361T414_POS,C00762,1.36E-135,5.074
M275T597_NEG,C16300,0.000482568,5.129
M371T642_NEG,NA,4.80E-52,5.221
M293T646_POS,NA,0.048178636,5.321
M415T581_NEG,NA,2.77E-56,5.405
M227T607_NEG,C06424,0.000799951,5.433
M179T219_NEG,C07130,1.99E-17,5.476
M413T581_NEG,NA,1.09E-52,5.502
M225T585_NEG,C08322,0.012300323,5.538
M179T137_NEG,C13747,0.006097683,5.547
M407T546_NEG,C00695,0.001443392,5.597
M195T266_2_POS,C07481,3.95E-20,5.761
M552T663_POS,C04230,1.51E-06,5.789
M267T634_NEG,NA,0.000430201,5.948
M548T617_POS,C04230,2.14E-11,5.962
M295T662_POS,NA,4.48E-05,6.045
M269T312_NEG,C00468,7.00E-21,6.05
M550T636_POS,C04230,2.37E-08,6.106
M510T647_POS,C04317,5.27E-06,6.393
M295T667_2_NEG,NA,0.013071044,6.422
M265T646_POS,C08367,0.046354578,6.453
M138T511_POS,NA,1.64E-101,6.665
M281T650_1_NEG,NA,0.009511582,6.827
M676T712_POS,NA,0.005019171,7.035
M299T476_POS,C01953,1.95E-170,7.096
M309T686_NEG,C16526,4.72E-05,7.119
M333T676_NEG,NA,0.037376456,7.299
M300T474_POS,C02934,5.98E-11,7.307
M348T625_POS,NA,0.008524868,7.4
M349T511_NEG,C02538,1.24E-83,7.534
M438T602_POS,NA,6.17E-05,7.585
M166T66_POS,C02242,4.70E-94,7.588
M311T731_NEG,C06425,0.004038142,7.677
M302T485_POS,C00836,0.019949369,7.915
M282T474_POS,C00319,3.00E-08,7.968
M337T738_NEG,NA,1.09E-08,8.125
M315T561_POS,C00410,5.20E-215,8.646
M357T671_NEG,NA,1.68E-21,8.975
M379T632_POS,C13856,2.89E-09,9.24
M463T399_NEG,C05504,1.64E-108,9.294
M367T389_NEG,NA,1.42E-171,9.683
M331T480_POS,C01176,1.28E-144,10.516